created_date,final_score,score
2016-10-18,-0.11192009449005128,8.0
2016-10-19,-0.14525282382965088,6.2
2016-10-20,-0.1884927988052368,3.2
2016-10-21,-0.37268378734588625,6.4
2016-10-22,-0.28183668851852417,3.2
2016-10-23,-0.5107122421264648,51.4
2016-10-24,0.18125754594802856,10.4
2016-10-25,-0.11402369737625122,3.8
2016-10-26,-0.3111457943916321,5.2
2016-10-27,0.0390110969543457,8.0
2016-10-28,-0.4604522228240967,2.4
2016-10-29,0.14150387048721313,5.0
2016-10-30,-0.006942069530487061,5.0
2016-10-31,-0.46157164573669435,6.0
2016-11-01,0.013098597526550293,4.4
2016-11-02,-0.04099652767181396,9.4
2016-11-03,-0.33174527883529664,11.4
2016-11-04,-0.35562337636947633,4.8
2016-11-05,-0.15876705646514894,3.6
2016-11-06,-0.053698408603668216,6.0
2016-11-07,-0.33733636140823364,10.8
2016-11-08,-0.29841678142547606,32.6
2016-11-09,-0.2999975085258484,19.4
2016-11-10,-0.08603479862213134,11.6
2016-11-11,-0.2106122851371765,8.0
2016-11-12,0.22612048387527467,8.8
2016-11-13,-0.4197903037071228,3.8
2016-11-14,-0.2950804948806763,10.0
2016-11-15,0.1124494194984436,3.0
2016-11-16,-0.4711805582046509,5.6
2016-11-17,-0.17297543287277223,12.8
2016-11-18,-0.1053913950920105,2.0
2016-11-19,0.1783185601234436,9.8
2016-11-20,-0.35808550119400023,10.6
2016-11-21,-0.5107049107551574,8.8
2016-11-22,-0.11266995668411255,8.2
2016-11-23,-0.13627315759658815,16.0
2016-11-24,-0.24433634281158448,5.6
2016-11-25,-0.14672181010246277,4.6
2016-11-26,-0.16088149547576905,4.2
2016-11-27,-0.118285870552063,4.8
2016-11-28,-0.17697049379348756,32.8
2016-11-29,-0.14495769739151002,2.4
2016-11-30,-0.2498713970184326,6.4
2016-12-01,-0.422711443901062,8.8
2016-12-02,-0.18768975734710694,10.8
2016-12-03,0.1536794900894165,9.2
2016-12-04,0.0,8.0
2016-12-05,-0.33314603567123413,4.6
2016-12-06,0.04234268665313721,17.8
2016-12-07,0.061476278305053714,5.0
2016-12-08,-0.6886809229850769,24.6
2016-12-09,-0.3555275917053223,8.6
2016-12-10,-0.5312957406044007,20.0
2016-12-11,-0.057391798496246337,2.2
2016-12-12,-0.3624944925308228,3.0
2016-12-13,-0.13091546297073364,47.2
2016-12-14,-0.3373592495918274,12.6
2016-12-15,-0.15650886297225952,20.6
2016-12-16,0.05304333567619324,35.8
2016-12-17,-0.23196112513542175,4.4
2016-12-18,-0.33883347511291506,19.4
2016-12-19,0.02417571544647217,7.2
2016-12-20,-0.39830726385116577,16.6
2016-12-21,-0.3172827959060669,35.4
2016-12-22,-0.29387458562850954,7.8
2016-12-23,-0.19794670343399048,10.6
2016-12-24,-0.3346548080444336,6.2
2016-12-25,-0.31149553060531615,26.8
2016-12-26,-0.19107961654663086,5.2
2016-12-27,-0.6166443705558777,4.6
2016-12-28,-0.44650323390960694,16.2
2016-12-29,-0.2504738450050354,5.8
2016-12-30,0.2591711401939392,2.8
2016-12-31,0.0,5.4
2017-01-01,-0.5393026947975159,14.0
2017-01-02,-0.4379868745803833,19.0
2017-01-03,-0.016354042291641235,14.0
2017-01-04,-0.0018462061882019043,15.2
2017-01-05,-0.4079952836036682,5.4
2017-01-06,-0.18887856006622314,6.6
2017-01-07,-0.11449897289276123,10.4
2017-01-08,-0.286487877368927,9.8
2017-01-09,-0.18897359371185302,12.0
2017-01-10,-0.18812597393989564,4.8
2017-01-11,0.08622807264328003,11.0
2017-01-12,-0.12964749336242676,3.2
2017-01-13,-0.38912551999092104,16.8
2017-01-14,-0.08276221752166749,3.8
2017-01-15,-0.26229033470153806,12.4
2017-01-16,-0.42922937870025635,7.6
2017-01-17,-0.4764749526977539,9.2
2017-01-18,-0.17601990699768066,3.6
2017-01-19,0.26251245737075807,3.2
2017-01-20,-0.36215054988861084,6.0
2017-01-21,-0.4623462319374084,5.4
2017-01-22,-0.2695065259933472,10.0
2017-01-23,0.16597156524658202,26.8
2017-01-24,-0.4372974932193756,3.4
2017-01-25,-0.2620269417762756,7.8
2017-01-26,-0.3580307483673096,6.6
2017-01-27,-0.25156532526016234,7.4
2017-01-28,-0.14842783212661742,80.8
2017-01-29,-0.5121152400970459,9.6
2017-01-30,-0.1590887188911438,4.8
2017-01-31,-0.4249695956707001,14.0
2017-02-01,-0.5556546807289123,15.6
2017-02-02,0.02827005386352539,7.8
2017-02-03,0.008046317100524902,27.0
2017-02-04,-0.2394001305103302,9.2
2017-02-05,-0.14110198020935058,5.8
2017-02-06,-0.13935575485229493,4.6
2017-02-07,-0.2876143455505371,7.2
2017-02-08,-0.21411290764808655,11.8
2017-02-09,-0.023658120632171632,6.6
2017-02-10,0.10796300172805787,3.4
2017-02-11,0.07972469329833984,7.8
2017-02-12,-0.22210782766342163,7.2
2017-02-13,0.012692755460739136,2.8
2017-02-14,0.32712655067443847,14.8
2017-02-15,-0.4379337430000305,21.8
2017-02-16,-0.17864993810653687,11.0
2017-02-17,-0.27249308824539187,3.2
2017-02-18,-0.003456413745880127,9.6
2017-02-19,-0.3011262536048889,5.0
2017-02-20,-0.34620673656463624,27.2
2017-02-21,-0.12881529331207275,29.6
2017-02-22,-0.38562980890274046,19.4
2017-02-23,-0.17383770942687987,6.4
2017-02-24,-0.005183851718902588,5.4
2017-02-25,-0.7893579721450805,7.6
2017-02-26,-0.3639856219291687,12.4
2017-02-27,0.03813347816467285,8.2
2017-02-28,0.06861040592193604,7.0
2017-03-01,0.031549155712127686,6.2
2017-03-02,0.13264307975769044,19.8
2017-03-03,-0.2421956777572632,3.2
2017-03-04,-0.252562952041626,5.8
2017-03-05,-0.28615320920944215,9.0
2017-03-06,-0.04359896183013916,8.8
2017-03-07,0.01940537691116333,6.4
2017-03-08,-0.179973304271698,4.8
2017-03-09,-0.3749179482460022,7.0
2017-03-10,-0.12924901247024537,21.2
2017-03-11,-0.19782033562660217,11.4
2017-03-12,0.23873897194862365,3.4
2017-03-13,-0.44354448318481443,5.6
2017-03-14,-0.5969801545143127,10.4
2017-03-15,-0.06693823337554931,7.0
2017-03-16,-0.2260321259498596,5.4
